交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2015-10-26 15:11:48,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1001000271201510261340449933,`15102681811745218930,`ocBwEs5tq8a2ClDNUznf2yWjbwlE,`NATIVE,`SUCCESS,`ABC_DEBIT,`CNY,`698.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`4.19000,`0.60%
`2015-10-26 12:49:45,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1001040271201510261338694024,`151026780966161416753,`ocBwEszy1PcPTeQwF0hqjPNMalNY,`NATIVE,`SUCCESS,`ABC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-26 15:44:28,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1002600271201510261340819039,`151026893266161421166,`ocBwEs9uP259OJZg0K_fhxAcx33w,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`2211.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`13.27000,`0.60%
`2015-10-26 15:44:14,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1002660271201510261340789189,`151026526066771114402,`ocBwEs9sRSh_m452ARve_l_aY0Vw,`JSAPI,`SUCCESS,`CITIC_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-26 19:12:28,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1004300271201510261343523352,`151026305866771128879,`ocBwEs-uw2pqhEwECwsVN6RILPkk,`JSAPI,`SUCCESS,`ABC_DEBIT,`CNY,`2211.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`13.27000,`0.60%
`2015-10-26 21:09:18,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1005330271201510261345033448,`151026790066824511836,`ocBwEs6ECO1yOVNN6mjxQN__wxRo,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-26 14:58:39,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1006520271201510261340161632,`151026028066161415611,`ocBwEs3qnKzxPOSROfX3jYYedmBY,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-26 11:52:26,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008050271201510261337794774,`151026089366161414418,`ocBwEs9Kx7u501pdCy2yhCUu-EhM,`NATIVE,`SUCCESS,`ABC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-26 12:20:10,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008680271201510261338292875,`151026013466161416146,`ocBwEsyZXYyTWSQFevAQ1wEWTiRw,`NATIVE,`SUCCESS,`CMB_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-26 12:15:23,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008990271201510261338206900,`151026069466771113952,`ocBwEsyQb7ZpyuV8i0XFqu4PvLVg,`NATIVE,`SUCCESS,`ABC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-26 15:46:20,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1009010271201510261340835704,`151026417166161413185,`ocBwEsyTDN8sXH0KSiDeS5VSbmj4,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-26 16:51:22,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1009170271201510261341574071,`15102611771270517085,`ocBwEs8-7OXPM0q03sej8SPkDSpQ,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`698.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`4.19000,`0.60%
